Dates,Satelite,Relaive_orbit,median_waterlevel
2017-05-28,SENTINEL_A,132,209.4448382
2017-05-28,SENTINEL_A,141,209.1718
2017-06-01,SENTINEL_A,189,209.46519425
2017-06-01,SENTINEL_A,198,296.6435
2017-06-05,SENTINEL_A,246,209.3425586
2017-06-09,SENTINEL_A,303,209.476538
2017-06-12,SENTINEL_A,355,209.8195823
2017-06-16,SENTINEL_A,27,209.54536795
2017-06-20,SENTINEL_A,84,209.5685758
2017-06-24,SENTINEL_A,132,209.77986265
2017-06-24,SENTINEL_A,141,209.6501
2017-06-28,SENTINEL_A,189,209.7369444
2017-06-28,SENTINEL_A,198,294.8538999
2017-07-02,SENTINEL_A,246,209.5867748
2017-07-06,SENTINEL_A,303,209.6611777
2017-07-09,SENTINEL_A,355,209.8377891
2017-07-13,SENTINEL_A,27,209.6798301
2017-07-17,SENTINEL_A,84,209.6099596
2017-07-21,SENTINEL_A,132,209.7050741
2017-07-21,SENTINEL_A,141,209.9644999
2017-07-25,SENTINEL_A,189,209.715598
2017-07-25,SENTINEL_A,198,291.8313
2017-08-02,SENTINEL_A,303,209.59445445
2017-08-05,SENTINEL_A,355,209.6869972
2017-08-06,SENTINEL_A,360,209.3894999
2017-08-09,SENTINEL_A,27,209.49371395
2017-08-13,SENTINEL_A,84,209.4341571
2017-08-17,SENTINEL_A,132,209.54871305
2017-08-17,SENTINEL_A,141,271.6575
2017-08-25,SENTINEL_A,246,209.37542395
2017-08-29,SENTINEL_A,303,209.4272738
2017-09-01,SENTINEL_A,355,209.52213815
2017-09-06,SENTINEL_A,32,250.9967998
2017-09-09,SENTINEL_A,84,209.24598145
2017-09-13,SENTINEL_A,132,209.4489691
2017-09-13,SENTINEL_A,141,327.7807998
2017-09-17,SENTINEL_A,189,209.29638415
2017-09-17,SENTINEL_A,198,279.4590999
2017-09-25,SENTINEL_A,303,209.09743475
2017-09-28,SENTINEL_A,355,209.2207932
2017-09-29,SENTINEL_A,360,207.2666001
2017-10-02,SENTINEL_A,27,209.0261541
2017-10-03,SENTINEL_A,32,272.6855999
2017-10-06,SENTINEL_A,84,209.0463396
2017-10-10,SENTINEL_A,132,209.1738894
2017-10-14,SENTINEL_A,189,209.0602214
2017-10-14,SENTINEL_A,198,259.6650499
2017-10-18,SENTINEL_A,246,208.8923817
2017-10-25,SENTINEL_A,355,209.2167146
2017-10-29,SENTINEL_A,27,208.8784455
2017-11-02,SENTINEL_A,84,208.8358964
2017-11-06,SENTINEL_A,132,208.8813372
2017-11-06,SENTINEL_A,141,347.2580499
2017-11-10,SENTINEL_A,189,208.7343532
2017-11-10,SENTINEL_A,198,308.892
2017-11-14,SENTINEL_A,246,208.7597556
2017-11-18,SENTINEL_A,303,208.9212149
2017-11-21,SENTINEL_A,355,237.8730257
2017-11-22,SENTINEL_A,360,208.6369999
2017-11-25,SENTINEL_A,27,208.70161255
2017-11-29,SENTINEL_A,84,208.6134477
2017-12-03,SENTINEL_A,132,208.724994
2017-12-07,SENTINEL_A,189,208.7305494
2017-12-11,SENTINEL_A,246,208.4906762
2017-12-15,SENTINEL_A,303,208.4345316
2017-12-18,SENTINEL_A,355,208.7306618
2017-12-19,SENTINEL_A,360,208.8316498
2017-12-22,SENTINEL_A,27,208.42993615
2017-12-26,SENTINEL_A,84,208.0857594
2017-12-30,SENTINEL_A,141,208.8082498
2018-01-03,SENTINEL_A,189,208.85168525
2018-01-03,SENTINEL_A,198,264.3897999
2018-01-07,SENTINEL_A,246,207.7668721
2018-01-11,SENTINEL_A,303,207.6586794
2018-01-14,SENTINEL_A,355,208.8141846
2018-01-18,SENTINEL_A,27,208.7094094
2018-01-22,SENTINEL_A,84,208.6721246
2018-01-26,SENTINEL_A,132,208.2791914
2018-01-26,SENTINEL_A,141,208.7273
2018-01-30,SENTINEL_A,189,208.7433178
2018-01-30,SENTINEL_A,198,281.3267998
2018-02-03,SENTINEL_A,246,208.6489201
2018-02-07,SENTINEL_A,303,208.76604355
2018-02-10,SENTINEL_A,355,208.6958939
